a,b,c,ba_bstb,ba_bsta,bc_bstb,bc_bsta,ca_bstb,ca_bsta,fwd_arb,rev_arb
USDT,FTM,BTC,1.22904,1.22934,3.081e-05,3.09e-05,39293.2,39293.3,1.1241668663464432,
USDT,XHV,BTC,3.051,3.052,7.68e-05,7.7e-05,39293.2,39293.3,0.7392935450727611,
USDT,MATIC,BTC,1.4353,1.4354,3.632e-05,3.633e-05,39293.2,39293.3,0.4441633071233131,
USDT,LUNA,BTC,100.2539,100.2747,0.00254351,0.00254485,39293.2,39293.3,0.15819878146516864,
USDT,VET,BTC,0.0467357,0.0467479,1.184e-06,1.187e-06,39293.2,39293.3,0.1026215948513487,
USDT,BADGER,BTC,7.335,7.343,0.0001856,0.0001863,39293.2,39293.3,0.10013928150651719,
USDT,FLUX,BTC,1.5558,1.5579,3.931e-05,3.952e-05,39293.2,39293.3,0.08851592016079213,
USDT,ADA,BTC,0.805891,0.805973,2.047e-05,2.048e-05,39293.2,39293.3,0.044627579577904974,
USDT,ETH,BTC,2609.34,2609.35,0.06631,0.066311,39293.2,39293.3,0.04433758751569705,
USDT,AVAX,BTC,73.772,73.785,0.00187366,0.00187538,39293.2,39293.3,0.011443559910473411,
BTC,FTM,ETH,3.081e-05,3.09e-05,0.0004698,0.0004708,0.06631,0.066311,,0.9177684077669834
USDT,ETC,ETH,26.4667,26.4706,0.010205,0.010214,2609.34,2609.35,,0.6964066349081754
PAX,ETH,USDT,2588.0,2596.49,2609.34,2609.35,1.0006,1.0007,,0.6557510178741177
USDT,EOS,ETH,1.9671,1.9672,0.000758,0.000759,2609.34,2609.35,,0.6434322753151589
USDT,ETC,BTC,26.4667,26.4706,0.0006766,0.0006777,39293.2,39293.3,,0.5355560475394983
USDT,TRX,ETH,0.059521,0.059522,2.291e-05,2.294e-05,2609.34,2609.35,,0.5338519864923619
DAI,ETH,USDT,2590.96,2599.8,2609.34,2609.35,1.0004,1.0006,,0.5075051825524701
USDT,DOT,BTC,16.8529,16.8556,0.00043067,0.000431,39293.2,39293.3,,0.4967182802392056
BTC,LUNA,ETH,0.00254351,0.00254485,0.038503,0.038504,0.06631,0.066311,,0.4258429349470294
USDT,NEAR,BTC,10.8628,10.8643,0.0002773,0.0002775,39293.2,39293.3,,0.3921132917905412
USDT,XMR,ETH,174.35,174.52,0.06707,0.06711,2609.34,2609.35,,0.38015255202841214
USDT,ONT,ETH,0.49092,0.49161,0.0001889,0.0001894,2609.34,2609.35,,0.3635463733447253
USDT,SUKU,BTC,0.21611,0.21636,5.52e-06,5.55e-06,39293.2,39293.3,,0.34912297282303495
USDT,ICP,BTC,16.42,16.43,0.000419,0.00042,39293.2,39293.3,,0.3062364625684433
USDT,LUNA,ETH,100.2539,100.2747,0.038503,0.038504,2609.34,2609.35,,0.292382263940949
USDT,BCH,USDC,289.23,289.29,289.79,290.11,0.99958,0.99959,,0.2308951184624375
UST,MATIC,BTC,1.4161,1.4188,3.632e-05,3.633e-05,39111.4,39163.3,,0.2217771389906753
USDT,ATOM,ETH,27.8872,27.891,0.0107,0.010714,2609.34,2609.35,,0.20385765300634517
USDT,KLAY,BTC,1.0918,1.0932,2.785e-05,2.792e-05,39293.2,39293.3,,0.20215291072080976
USDT,KDA,BTC,6.093,6.0967,0.00015529,0.00015607,39293.2,39293.3,,0.18440909062276134
USDT,STX,BTC,1.4331,1.4376,3.661e-05,3.682e-05,39293.2,39293.3,,0.1643416841958567
USDT,DASH,ETH,103.54,103.59,0.03972,0.0398,2609.34,2609.35,,0.1511997150303923
USDT,SRM,BTC,1.863,1.865,4.748e-05,4.761e-05,39293.2,39293.3,,0.13441164268095385
USDT,XMR,BTC,174.35,174.52,0.004443,0.004448,39293.2,39293.3,,0.13423520948887546
UST,LUNA,ETH,99.623,99.9067,0.038503,0.038504,2595.26,2599.82,,0.11863175921134061
BTC,KCS,ETH,0.0004617,0.000462,0.006968,0.006971,0.06631,0.066311,,0.1104173333333236
USDT,MTL,BTC,1.5232,1.5264,3.885e-05,3.896e-05,39293.2,39293.3,,0.10923485455971438
BTC,XMR,ETH,0.004443,0.004448,0.06707,0.06711,0.06631,0.066311,,0.08676060476615621
USDT,BTC,USDC,39293.2,39293.3,39303.2,39315.2,0.99958,0.99959,,0.083167737644807
USDT,STORJ,ETH,1.0217,1.0234,0.000392,0.0003951,2609.34,2609.35,,0.04730714090288579
USDT,XRP,USDC,0.73823,0.73824,0.73813,0.73871,0.99958,0.99959,,0.04304906065777381
BTC,ALGO,KCS,1.845e-05,1.847e-05,0.03998,0.04003,0.0004617,0.000462,,0.03911622089873834
USDT,LTC,ETH,102.691,102.703,0.03933,0.03939,2609.34,2609.35,,0.024310431243468322
BTC,FX,ETH,1.228e-05,1.231e-05,0.0001855,0.0001856,0.06631,0.066311,,0.022790454914667357
USDT,XRP,ETH,0.73823,0.73824,0.0002827,0.0002829,2609.34,2609.35,,0.02141287630037514
USDC,ETH,BTC,2607.13,2608.28,0.06631,0.066311,39303.2,39315.2,,0.01998969405119233
USDT,BCH,BTC,289.23,289.29,0.007356,0.007364,39293.2,39293.3,,0.013764727159570889
